,household_key,revenue,recency,frequency,recency_cluster,frequency_cluster,revenue_cluster,rfm_score,segment,received_campA_18,redeemed_campA_18,GROCERY_spend,DELI_spend,PRODUCE_spend,KIOSK-GAS_spend,DRUG GM_spend,MEAT_spend
104,1040,501.5100000000004,3,17,3,1,1,5,Mid-value,1,0,292.54,20.660000000000004,7.859999999999999,,124.47999999999999,15.129999999999999
105,1000,334.04999999999995,3,14,3,1,1,5,Mid-value,1,0,196.3899999999999,37.42,26.130000000000003,25.02,25.839999999999993,
106,1264,395.9500000000001,1,12,3,1,1,5,Mid-value,1,0,161.67000000000002,3.99,5.18,,216.14000000000001,5.62
107,208,413.1200000000001,3,11,3,1,1,5,Mid-value,1,1,208.45999999999998,4.55,38.13999999999999,48.510000000000005,28.58,56.61
108,971,451.9200000000003,1,16,3,1,1,5,Mid-value,1,0,216.18,21.0,27.409999999999997,10.41,55.44,6.98
109,581,279.9999999999999,0,13,3,1,1,5,Mid-value,0,0,180.51999999999995,5.5,10.49,,52.760000000000005,3.53
110,586,580.6199999999998,1,15,3,1,1,5,Mid-value,1,0,367.00000000000006,10.3,10.01,30.75,56.400000000000006,60.12
111,57,274.4800000000001,0,21,3,1,1,5,Mid-value,1,0,104.71999999999997,19.92,19.83,41.0,57.44,2.02
112,2424,382.34000000000015,1,11,3,1,1,5,Mid-value,1,0,171.44,,30.620000000000005,,124.86999999999996,32.07
113,80,524.1800000000001,1,14,3,1,1,5,Mid-value,0,0,307.76999999999987,11.35,19.259999999999998,53.75,48.47,28.92
114,166,307.44,1,12,3,1,1,5,Mid-value,1,0,136.84,5.77,18.45,,74.04,22.650000000000002
115,600,600.2400000000002,4,21,3,1,1,5,Mid-value,1,0,220.99999999999994,3.99,11.73,112.0,115.43999999999997,76.12
116,539,494.60000000000025,5,21,3,1,1,5,Mid-value,0,0,219.9199999999999,30.64,53.460000000000015,62.550000000000004,7.35,74.63000000000002
