household_key,received_campaign,redeemed_coupons,total_campaigns_received,TypeA,TypeB,TypeC,total_campaigns_engaged,total_coupons_received,total_coupons_redeemed,camp_conversion_rate,coupon_conversion_rate,revenue,recency,frequency,GROCERY_spend,DELI_spend,PRODUCE_spend,KIOSK-GAS_spend,DRUG GM_spend,NUTRITION_spend,SALAD BAR_spend,MEAT_spend,recency_cluster,frequency_cluster,revenue_cluster,rfm_score,segment,age_desc,marital_status_code,income_desc,homeowner_desc,hh_comp_desc,household_size_desc,kid_category_desc
2112,1,1,7.0,3.0,4.0,0.0,4.0,112.0,4.0,0.57,0.04,5116.149999999966,0,132,2378.5300000000047,86.74,761.7400000000017,172.29000000000002,486.06000000000034,1.49,8.45,876.4600000000003,3,1,1,5,Mid-value,45-54,A,35-49K,Homeowner,2 Adults Kids,5+,3+
2113,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.0800000000042,21,60,956.9099999999997,86.8,66.68,30.0,185.58999999999997,5.23,17.509999999999998,87.45000000000002,3,0,0,3,Low-value,,,,,,,
2114,1,0,5.0,5.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,3170.2799999999907,23,156,1004.6100000000015,475.03000000000026,700.9100000000009,49.39,339.4200000000001,109.50999999999999,152.26000000000002,205.00000000000003,3,1,1,5,Mid-value,,,,,,,
2115,1,1,9.0,3.0,4.0,2.0,2.0,137.0,2.0,0.22,0.01,14774.859999999922,0,320,5917.319999999952,204.67000000000002,780.7700000000003,4533.12,1158.460000000001,12.08,0.0,743.22,3,2,3,8,High-value,35-44,A,150-174K,Homeowner,2 Adults Kids,5+,3+
2116,1,0,7.0,2.0,4.0,1.0,0.0,111.0,0.0,0.0,0.0,12228.089999999935,3,224,6139.469999999938,247.91000000000014,1380.5800000000017,1139.0499999999997,1474.1800000000012,338.8400000000001,7.449999999999999,480.56,3,1,3,7,High-value,35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+
2117,1,1,4.0,3.0,1.0,0.0,1.0,81.0,1.0,0.25,0.01,1050.3900000000008,4,63,457.46000000000004,121.08999999999996,85.79999999999997,0.0,149.67,0.99,6.42,104.99000000000001,3,0,0,3,Low-value,,,,,,,
2118,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1107.7900000000009,3,29,530.4000000000002,52.050000000000004,63.970000000000006,59.43,77.18,0.0,29.869999999999994,176.27999999999997,3,0,0,3,Low-value,,,,,,,
2119,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2295.16,7,44,1273.6600000000005,19.97,109.04,345.41,53.28,0.0,0.0,140.46,3,0,0,3,Low-value,25-34,U,50-74K,Homeowner,Single Male,1,None/Unknown
2120,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1643.2000000000016,14,72,813.3200000000008,0.0,119.59999999999998,154.78,99.99999999999997,0.0,0.0,248.70000000000005,3,0,0,3,Low-value,,,,,,,
2121,1,0,4.0,2.0,2.0,0.0,0.0,83.0,0.0,0.0,0.0,5582.789999999953,1,143,2376.090000000002,127.44999999999997,478.8000000000007,1180.35,472.61000000000035,18.450000000000003,0.0,404.80999999999995,3,1,1,5,Mid-value,55-64,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
2122,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.84,0,12,239.20999999999998,0.0,54.78000000000001,56.099999999999994,51.61000000000002,6.99,2.87,10.23,3,0,0,3,Low-value,,,,,,,
2123,1,1,3.0,3.0,0.0,0.0,10.0,48.0,10.0,3.33,0.21,4332.44999999997,1,59,2433.2600000000025,175.72,506.15000000000015,0.0,294.7600000000001,0.89,4.47,141.6,3,0,1,4,Mid-value,45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
2124,1,1,8.0,4.0,4.0,0.0,20.0,112.0,20.0,2.5,0.18,7859.409999999956,0,240,2813.619999999992,35.01,598.6400000000001,2497.3599999999997,1280.6700000000037,64.29000000000002,3.67,321.22000000000014,3,1,2,6,Mid-value,25-34,A,50-74K,Homeowner,2 Adults Kids,4,2
2125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4833.289999999968,0,113,2267.7600000000025,276.56000000000006,325.0000000000002,1082.6100000000001,147.73000000000002,18.38,0.0,174.21,3,1,1,5,Mid-value,,,,,,,
2126,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4713.849999999954,12,127,1585.8900000000021,122.03999999999996,525.8900000000003,167.58,403.11000000000024,1197.8800000000003,0.0,243.01000000000008,3,1,1,5,Mid-value,,,,,,,
